dept_id,school_id,dept_name,tags
DEP0001,SCH0001,人文社会科学部 現代社会学科,history_social
DEP0002,SCH0001,人文社会科学部 法律経済学科,history_social;business;math_data
DEP0003,SCH0001,人文社会科学部 人間文化学科,science;history_social
DEP0004,SCH0001,人文学部 社会科学科,history_social
DEP0005,SCH0001,教育学部 学校教育教員養成課程,edu_psych;history_social
DEP0006,SCH0001,教育学部 養護教諭養成課程,edu_psych;history_social
DEP0007,SCH0001,理学部 理学科,science
DEP0008,SCH0001,工学部 機械システム工学科,programming;science
DEP0009,SCH0001,工学部 電気電子システム工学科,programming;science
DEP0010,SCH0001,工学部 物質科学工学科,programming;science
DEP0011,SCH0001,工学部 情報工学科,programming;science;math_data
DEP0012,SCH0001,工学部 都市システム工学科,programming;science
DEP0013,SCH0001,工学部 機械工学科,programming;science
DEP0014,SCH0001,工学部 電気電子工学科,programming;science
DEP0015,SCH0001,工学部 メディア通信工学科,programming;science;math_data
DEP0016,SCH0001,工学部 知能システム工学科,programming;science
DEP0017,SCH0001,農学部 食生命科学科,science
DEP0018,SCH0001,農学部 地域総合農学科,science;history_social
DEP0019,SCH0001,共同実施制度利用（学部）,history_social
DEP0020,SCH0001,共同学科等の名称,history_social
DEP0021,SCH0002,人文・文化学群 人文学類,science;history_social
DEP0022,SCH0002,人文・文化学群 比較文化学類,science;history_social
DEP0023,SCH0002,人文・文化学群 日本語・日本文化学類,science;history_social
DEP0024,SCH0002,社会・国際学群 社会学類,history_social;english_global
DEP0025,SCH0002,社会・国際学群 国際総合学類,history_social;english_global
DEP0026,SCH0002,人間学群 教育学類,history_social;edu_psych
DEP0027,SCH0002,人間学群 心理学類,science;history_social;edu_psych
DEP0028,SCH0002,人間学群 障害科学類,history_social
DEP0029,SCH0002,生命環境学群 生物学類,science
DEP0030,SCH0002,生命環境学群 生物資源学類,science
DEP0031,SCH0002,生命環境学群 地球学類,science
DEP0032,SCH0002,理工学群 数学類,programming;science
DEP0033,SCH0002,理工学群 物理学類,programming;science
DEP0034,SCH0002,理工学群 化学類,programming;science
DEP0035,SCH0002,理工学群 応用理工学類,programming;science
DEP0036,SCH0002,理工学群 工学システム学類,programming;science
DEP0037,SCH0002,理工学群 社会工学類,programming;science;history_social
DEP0038,SCH0002,情報学群 情報科学類,programming;science;math_data
DEP0039,SCH0002,情報学群 情報メディア創成学類,programming;science;math_data
