school_id,school_name,school_type,prefecture
SCH0001,茨城大学,national,茨城県
SCH0002,筑波大学,national,茨城県
SCH0003,筑波技術大学,national,茨城県
SCH0004,宇都宮大学,national,栃木県
SCH0005,群馬大学,national,群馬県
SCH0006,埼玉大学,national,埼玉県
SCH0007,千葉大学,national,千葉県
SCH0008,東京大学,national,東京都
SCH0009,東京医科歯科大学,national,東京都
SCH0010,東京外国語大学,national,東京都
SCH0011,東京学芸大学,national,東京都
SCH0012,東京農工大学,national,東京都
SCH0013,東京芸術大学,national,東京都
SCH0014,東京工業大学,national,東京都
SCH0015,東京海洋大学,national,東京都
SCH0016,お茶の水女子大学,national,東京都
SCH0017,電気通信大学,national,東京都
SCH0018,一橋大学,national,東京都
SCH0019,横浜国立大学,national,神奈川県
SCH0020,政策研究大学院大学,national,東京都
SCH0021,総合研究大学院大学,national,神奈川県
SCH0022,茨城県立医療大学,public,茨城県
SCH0023,高崎経済大学,public,群馬県
SCH0024,前橋工科大学,public,群馬県
SCH0025,群馬県立女子大学,public,群馬県
SCH0026,群馬県立県民健康科学大学,public,群馬県
SCH0027,埼玉県立大学,public,埼玉県
SCH0028,千葉県立保健医療大学,public,千葉県
SCH0029,東京都立大学,public,東京都
SCH0030,東京都立産業技術大学院大学,public,東京都
SCH0031,横浜市立大学,public,神奈川県
SCH0032,神奈川県立保健福祉大学,public,神奈川県
SCH0033,川崎市立看護大学,public,神奈川県
SCH0034,茨城キリスト教大学,private,茨城県
SCH0035,流通経済大学,private,茨城県
SCH0036,常磐大学,private,茨城県
SCH0037,つくば国際大学,private,茨城県
SCH0038,日本国際学園大学,private,茨城県
SCH0039,日本ウェルネススポーツ大学,private,茨城県
SCH0040,アール医療専門職大学,private,茨城県
SCH0041,足利大学,private,栃木県
SCH0042,白鴎大学,private,栃木県
SCH0043,作新学院大学,private,栃木県
SCH0044,国際医療福祉大学,private,栃木県
SCH0045,宇都宮共和大学,private,栃木県
SCH0046,文星芸術大学,private,栃木県
SCH0047,自治医科大学,private,栃木県
SCH0048,獨協医科大学,private,栃木県
SCH0049,育英大学,private,群馬県
SCH0050,桐生大学,private,群馬県
SCH0051,群馬パース大学,private,群馬県
SCH0052,群馬医療福祉大学,private,群馬県
SCH0053,高崎健康福祉大学,private,群馬県
SCH0054,高崎商科大学,private,群馬県
SCH0055,上武大学,private,群馬県
SCH0056,関東学園大学,private,群馬県
SCH0057,共愛学園前橋国際大学,private,群馬県
